"domain","site","grid","lat","lon","elev","nlcd"
"D14_Desert Southwest","SRER","SRER_012",31.871302,-110.848939,1052.2,"shrubScrub"
"D14_Desert Southwest","SRER","SRER_014",31.8727,-110.885916,967.3,"shrubScrub"
"D14_Desert Southwest","SRER","SRER_023",31.854235,-110.857634,1059.2,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_003",40.206225,-112.428493,1604.6,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_004",40.186515,-112.474083,1718.1,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_005",40.180753,-112.429727,1607.9,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_008",40.158597,-112.519798,1794.9,"evergreenForest"
"D15_Great Basin","ONAQ","ONAQ_014",40.206674,-112.447162,1642.4,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_015",40.150341,-112.479169,1660.9,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_017",40.190506,-112.517316,1919.6,"evergreenForest"
"D15_Great Basin","ONAQ","ONAQ_019",40.174342,-112.480716,1724.4,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_020",40.183889,-112.436683,1627.6,"shrubScrub"
"D15_Great Basin","ONAQ","ONAQ_021",40.152456,-112.542082,1881.1,"evergreenForest"
"D15_Great Basin","ONAQ","ONAQ_023",40.195079,-112.504944,1881.2,"evergreenForest"
"D16_Pacific Northwest","ABBY","ABBY_002",45.740362,-122.309739,624.5,"grasslandHerbaceous"
"D16_Pacific Northwest","ABBY","ABBY_003",45.761271,-122.369389,610.4,"evergreenForest"
"D16_Pacific Northwest","ABBY","ABBY_004",45.76854,-122.300356,553.8,"shrubScrub"
"D16_Pacific Northwest","ABBY","ABBY_007",45.768772,-122.362991,465.5,"evergreenForest"
"D16_Pacific Northwest","ABBY","ABBY_010",45.777213,-122.373675,574.6,"evergreenForest"
"D16_Pacific Northwest","ABBY","ABBY_011",45.743532,-122.356199,428.8,"grasslandHerbaceous"
"D16_Pacific Northwest","ABBY","ABBY_014",45.749698,-122.317306,503.7,"evergreenForest"
"D16_Pacific Northwest","ABBY","ABBY_023",45.746374,-122.381402,524,"mixedForest"
"D16_Pacific Northwest","WREF","WREF_001",45.845118,-121.998227,653.2,"evergreenForest"
"D16_Pacific Northwest","WREF","WREF_003",45.830331,-122.017459,603.6,"evergreenForest"
"D16_Pacific Northwest","WREF","WREF_004",45.823605,-121.997062,565.8,"evergreenForest"
"D16_Pacific Northwest","WREF","WREF_005",45.844085,-122.004487,672.6,"evergreenForest"
"D16_Pacific Northwest","WREF","WREF_007",45.848697,-121.989621,620.1,"evergreenForest"
"D16_Pacific Northwest","WREF","WREF_010",45.82746,-121.850099,677.3,"evergreenForest"
"D16_Pacific Northwest","WREF","WREF_011",45.834675,-121.981445,629.9,"evergreenForest"
"D16_Pacific Northwest","WREF","WREF_012",45.841757,-121.862857,321.3,"evergreenForest"
"D17_Pacific Southwest","SJER","SJER_002",37.081628,-119.742642,340.6,"grasslandHerbaceous"
"D17_Pacific Southwest","SJER","SJER_006",37.101706,-119.749027,386.6,"grasslandHerbaceous"
"D17_Pacific Southwest","SJER","SJER_007",37.114814,-119.752042,430.7,"grasslandHerbaceous"
"D17_Pacific Southwest","SJER","SJER_009",37.116909,-119.739947,433.7,"grasslandHerbaceous"
"D17_Pacific Southwest","SJER","SJER_010",37.128448,-119.7478,418.1,"evergreenForest"
"D17_Pacific Southwest","SJER","SJER_012",37.084404,-119.715586,327.2,"grasslandHerbaceous"
"D17_Pacific Southwest","SJER","SJER_013",37.082596,-119.729144,269.4,"evergreenForest"
"D17_Pacific Southwest","SJER","SJER_032",37.092605,-119.744726,344.8,"grasslandHerbaceous"
"D17_Pacific Southwest","SJER","SJER_033",37.081572,-119.715119,324.2,"grasslandHerbaceous"
"D17_Pacific Southwest","SOAP","SOAP_002",37.029932,-119.282908,1309.7,"evergreenForest"
"D17_Pacific Southwest","SOAP","SOAP_003",37.03517,-119.249789,1106.1,"evergreenForest"
"D17_Pacific Southwest","SOAP","SOAP_006",37.02636,-119.282201,1312.4,"evergreenForest"
"D17_Pacific Southwest","SOAP","SOAP_012",37.0313,-119.275214,1366.8,"evergreenForest"
"D17_Pacific Southwest","SOAP","SOAP_027",37.029099,-119.27897,1280.8,"shrubScrub"
"D17_Pacific Southwest","TEAK","TEAK_001",36.978209,-119.016437,2168.6,"evergreenForest"
"D17_Pacific Southwest","TEAK","TEAK_003",37.014173,-119.01132,2231.4,"evergreenForest"
"D17_Pacific Southwest","TEAK","TEAK_004",37.001618,-119.037596,2170.5,"evergreenForest"
